OrderNumber,OrderDate,Customer Name Index,Channel,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
SO - 000101,01-01-2013,15,Distributor,NXH382,47,11,5,15,75,1001.18
SO - 000102,01-01-2013,20,Wholesale,GUT930,36,2,5,3939.6,19698,3348.66
SO - 000103,01-01-2013,16,Export,GUT930,39,11,10,1775.5,17755,781.22
SO - 000104,01-01-2013,48,Export,AXW291,20,7,6,2324.9,13949.4,1464.69
SO - 000105,01-01-2013,49,Wholesale,AXW291,20,7,6,1822.4,10934.4,1476.14
SO - 000106,02-01-2013,21,Wholesale,NXH382,52,5,6,1038.5,6231,446.56
SO - 000107,02-01-2013,14,Distributor,AXW291,1,1,10,1192.6,11926,536.67
SO - 000108,02-01-2013,9,Distributor,NXH382,51,1,10,1815.7,18157,1525.19
SO - 000109,03-01-2013,9,Wholesale,NXH382,54,6,7,3879.3,27155.1,2211.2
SO - 000110,03-01-2013,33,Wholesale,NXH382,47,1,6,1956.4,11738.4,1212.97
SO - 000111,03-01-2013,21,Export,AXW291,3,1,12,201,2412,124.62
SO - 000112,03-01-2013,21,Distributor,AXW291,28,11,8,6277.9,50223.2,2762.28
SO - 000113,03-01-2013,36,Export,NXH382,57,1,7,1051.9,7363.3,641.66
SO - 000114,03-01-2013,17,Export,NXH382,53,7,9,254.6,2291.4,216.41
SO - 000115,03-01-2013,32,Distributor,AXW291,25,11,5,3932.9,19664.5,3146.32
SO - 000116,03-01-2013,11,Wholesale,FLR025,64,6,10,1112.2,11122,700.69
SO - 000117,03-01-2013,10,Wholesale,NXH382,58,4,12,1239.5,14874,904.84
SO - 000118,03-01-2013,30,Export,AXW291,4,13,12,984.9,11818.8,393.96
SO - 000119,04-01-2013,5,Distributor,FLR025,63,1,5,5581.1,27905.5,4130.01
SO - 000120,04-01-2013,23,Wholesale,AXW291,25,7,8,3095.4,24763.2,1795.33
SO - 000121,04-01-2013,46,Export,GUT930,35,1,8,2278,18224,1754.06
SO - 000122,04-01-2013,14,Export,NXH382,51,2,12,991.6,11899.2,654.46
SO - 000123,04-01-2013,40,Distributor,AXW291,4,13,6,3979.8,23878.8,3064.45
SO - 000124,04-01-2013,19,Wholesale,GUT930,40,12,12,1969.8,23637.6,866.71
